seq,time,deprecated_logid,logname,log_detail_code,actor_code,actor_account_id,actor_world,actor_id,actor_name,actor_level,actor_born,actor_class,actor_party,actor_guild,actor_map_id,actor_map_oid,actor_zone_id,actor_location,actor_num1,actor_num2,actor_num3,actor_str1,actor_str2,actor_str3,entity_code,entity_id,entity_dbid,entity_grade,entity_lv,entity_option,entity_str1,entity_str2,old_num1,old_num2,old_str1,use_num1,use_num2,new_num1,new_num2,new_str1,data_num1,data_num2,data_num3,data_num4,data_num5,data_str1,data_str2,data_str3,target_code,target_account_id,target_world,target_id,target_name,target_level,target_born,target_class,target_party,target_guild,target_map_id,target_map_oid,target_zone_id,target_location,target_num1,target_num2,target_num3,target_str1,target_str2,target_str3,plogid,plogdate
190542128,2020-10-18 00:47:05.870,1014,PCLevelUp,0,10,24712047,133,37436171902533080,킴크롱,65,4,48401,0,37436171902617280,1100,1100,880,-14291/-29073/-45,0,0,3,,클라우드,E0B67A86-651C-45C7-A213-6E0D509B98A9,0,0,0,0,0,,,,64,0,,0,1,0,0,,0,0,0,0,0,,,,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,1131,,,,1014,20201018
229013891,2020-10-18 19:21:55.321,1014,PCLevelUp,0,10,25427752,133,37436171902552647,신촌핵주먹,57,5,36491,0,37436171902617317,6005,6005,1105,2117/-1120/1537,0,0,3,,광부,94768806-6B13-4B0C-B405-C151D5F435D9,0,0,0,0,0,,,,56,0,,0,1,0,0,,0,0,0,0,0,,,,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,1131,,,,1014,20201018
237807230,2020-10-18 23:22:14.722,1014,PCLevelUp,0,10,23784361,133,37436171902517396,망구리,65,5,46301,0,37436171902617261,6003,6003,1103,-10337/14780/633,0,0,2,,귀농연합,BBCDC07F-AFAC-4C89-B6C8-0B69E8A260ED,0,0,0,0,0,,,,64,0,,0,1,0,0,,0,0,0,0,0,,,,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,1131,,,,1014,20201018
874261646,2020-10-18 21:17:30.165,1014,PCLevelUp,0,10,25443531,133,37436171902553180,Resuwen,60,5,36301,0,37436171902617266,1,1,806,161748/38543/2853,0,0,3,,하모니,2D4F6487-5354-44DE-8E7F-200680E79171,0,0,0,0,0,,,,59,0,,0,1,0,0,,0,0,0,0,0,,,,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,133,,,,1014,20201018
