seq,time,deprecated_logid,logname,log_detail_code,actor_code,actor_account_id,actor_world,actor_id,actor_name,actor_level,actor_born,actor_class,actor_party,actor_guild,actor_map_id,actor_map_oid,actor_zone_id,actor_location,actor_num1,actor_num2,actor_num3,actor_str1,actor_str2,actor_str3,entity_code,entity_id,entity_dbid,entity_grade,entity_lv,entity_option,entity_str1,entity_str2,old_num1,old_num2,old_str1,use_num1,use_num2,new_num1,new_num2,new_str1,data_num1,data_num2,data_num3,data_num4,data_num5,data_str1,data_str2,data_str3,target_code,target_account_id,target_world,target_id,target_name,target_level,target_born,target_class,target_party,target_guild,target_map_id,target_map_oid,target_zone_id,target_location,target_num1,target_num2,target_num3,target_str1,target_str2,target_str3,plogid,plogdate
737224437,2020-10-18 04:41:02.717,1211,PCDie,0,10,3866332,133,37436171902522464,바즈라,57,1,34101,0,37436171902617421,1,1,305,30790/253009/4107,30000,2,3,Normal,Luxury,965B8E5C-E3D3-4950-9E35-BF4DC2C667C0,0,0,0,0,0,,,,0,0,,43487828,0,103119180,-1,,0,0,0,0,0,,,8_100440004/6_200150005/6_200250001/4_200650004/6_200550005/7_210750002/6_200350006/7_200450003/3_200850004/0_350100003/2_320200003/2_320200004/3_300350002/3_300350005/0_320500001/0_320500003/3_300450002,30,121006,0,27095,M_Looter_Orc_Dog_001_001,40,0,0,0,0,1,1,305,30549/253023/4097,0,0,133,,,,1211,20201018
790502453,2020-10-18 11:20:44.070,1211,PCDie,0,10,8611269,133,37436171902528058,적대,64,4,43601,1792203954654119,0,1,1,829,321706/17140/1859,30000,2,3,Normal,,1FE59D2B-0879-4FCA-92D8-9DD504623720,0,0,0,0,0,,,,0,0,,1298134868,0,16628834612,1559,,0,0,0,0,0,,,7_100330003/7_200130007/5_200230001/7_200650003/5_200530004/6_210700001/4_210330005/5_200430012/5_200840005/3_300140006/6_320200004/5_320200006/4_300330008/5_300350004/5_320600002/5_320500001/4_320500003/5_300440003/4_320600001/2_310840001,30,141186,0,126212,M_PlainsOfOblivion_Mutant_Stakato_001_002,84,0,0,0,0,1,1,829,321466/17303/1836,0,0,133,,,,1211,20201018
807513139,2020-10-18 13:24:02.523,1211,PCDie,0,10,6945457,133,37436171902527698,존강,65,1,44601,0,0,1,1,810,307038/-70058/11057,30000,2,3,Normal,,DA924E38-473F-4F45-BC06-F119078F5E67,0,0,0,0,0,,,,0,0,,1947202302,0,15421309192,1470,,0,0,0,0,0,,,7_100430005/7_200130008/5_200230003/5_200630003/7_200530006/6_210700002/7_200330006/7_200430006/5_200840002/3_300130006/5_320200003/5_320200004/4_310340002/4_300340010/6_320600002/4_320500001/4_320500003/5_300440002/0_410160003/5_320600001/2_310840002,30,142086,0,25173,M_Cemetery_RoamingGhost_Chiefguard_001_002,91,0,0,0,0,1,1,810,306975/-69741/11060,0,0,133,,,,1211,20201018
814508344,2020-10-18 14:14:21.283,1211,PCDie,0,10,24503574,133,37436171902530557,로베,67,5,51101,0,37436171902617271,1053,1053,703,23836/-8466/1000,30000,2,3,Normal,엔젤,1733D5CD-E3B7-48BA-950C-ED61DD941BCB,0,0,0,0,0,,,,0,0,,1947202302,0,5012451701,1537,,0,0,0,0,0,,,7_100120001/7_200130007/5_200230003/5_200630005/7_200530005/6_210700001/5_200330005/5_200420001/5_200840002/3_300140005/7_320200004/6_320200003/3_300330007/4_300330008/5_320600001/7_320500001/5_320500003/5_300430003/6_320600002/2_310840001,30,192007,0,31368,M_IvoryTower3F_Human_Magician_Elite_001_001,89,0,0,0,0,1053,1053,703,23703/-9033/1000,0,0,133,,,,1211,20201018
836392932,2020-10-18 16:51:01.180,1211,PCDie,0,10,3866332,133,37436171902522464,바즈라,57,1,34101,0,37436171902617421,1041,1041,317,9689/28428/379,30000,2,3,Normal,Luxury,965B8E5C-E3D3-4950-9E35-BF4DC2C667C0,0,0,0,0,0,,,,0,0,,43487828,0,158726297,-1,,0,0,0,0,0,,,8_100440004/6_200150005/6_200250001/4_200650004/6_200550005/7_210750002/6_200350006/7_200450003/3_200850004/0_350100003/2_320200003/2_320200004/3_300350002/3_300350005/0_320500001/0_320500003/3_300450002/0_410160001,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,133,,,,1211,20201018
839062279,2020-10-18 17:09:50.635,1211,PCDie,0,10,572269,133,37436171902534928,판사,65,5,46101,926888303414917,37436171902617271,1,1,810,309112/-62339/10807,14385,1,3,Normal,엔젤,EBE09A66-89AD-49C9-AEA9-42B7C9D6EC8B,0,0,0,0,0,,,,0,0,,1947202302,0,22141481461,1499,,0,0,0,0,0,,,8_100630005/5_200130002/5_200230003/5_200630005/7_200530007/6_210700003/5_200330004/5_200430012/5_200840002/0_300130007/5_320200007/5_320200006/3_300330008/0_300330009/4_320600001/4_320500003/5_320500001/5_300440001/5_320600002,30,141193,0,65135,M_Cemetery_Bat_001_CV01_001_002,90,0,0,0,0,1,1,810,309181/-62500/10901,0,0,133,,,,1211,20201018
847249312,2020-10-18 18:07:56.382,1211,PCDie,0,10,3866332,133,37436171902522464,바즈라,57,1,34101,0,37436171902617421,1035,1035,225,19646/-5658/3004,30000,2,3,Normal,Luxury,965B8E5C-E3D3-4950-9E35-BF4DC2C667C0,0,0,0,0,0,,,,0,0,,43487828,0,163099043,-1,,0,0,0,0,0,,,8_100440004/6_200150005/6_200250001/4_200650004/6_200550005/7_210750002/6_200350006/7_200450003/3_200850004/0_350100003/2_320200003/2_320200004/3_300350002/3_300350005/0_320500001/0_320500003/3_300450002/0_410160001,30,171112,0,26685,M_TowerOfCrumaB5_Giant_Marksman_001_001,52,0,0,0,0,1035,1035,225,20159/-4693/3004,0,0,133,,,,1211,20201018
857497448,2020-10-18 19:20:34.272,1211,PCDie,0,10,572269,133,37436171902534928,판사,65,5,46301,0,37436171902617271,1,1,811,369030/-44308/9454,30000,2,3,Normal,엔젤,EBE09A66-89AD-49C9-AEA9-42B7C9D6EC8B,0,0,0,0,0,,,,0,0,,1947202302,0,22347559991,1499,,0,0,0,0,0,,,8_100630005/5_200130002/5_200230003/5_200630005/7_200530007/6_210700003/5_200330004/5_200430012/5_200840002/0_300130007/5_320200007/5_320200006/3_300330008/0_300330009/4_320600001/4_320500003/5_320500001/5_300440001/5_320600002/2_310840003,30,142089,0,77285,M_Forbidden_Gateway_Half_Guardian_002_002,92,0,0,0,0,1,1,811,369191/-44183/9446,0,0,133,,,,1211,20201018
869721990,2020-10-18 20:46:39.867,1211,PCDie,0,10,19217932,133,37436171902517251,서비,60,1,37492,1461250954627546,37436171902617266,7001,670014905177,503,2516/-4626/25284,30000,2,3,Safety,하모니,11EBC89A-EA9A-4A2A-ABBA-771A20B03D66,0,0,0,0,0,,,,0,0,,0,0,2538061469,1438,,0,0,0,0,0,,,6_110740008/4_210140001/5_200240001/6_200640007/4_200540004/4_210740001/6_200340009/6_200440007/0_200840005/1_300140007/2_320200003/3_320200004/4_300360006/3_300340005/1_320600002/3_320500001/2_320500003/3_300440001/1_320600001,30,970110,0,89447,M_GuildRaid_AntNestB3_Ant_Male_002,65,0,0,0,0,7001,670014905177,503,2868/-4126/25273,0,0,133,,,,1211,20201018
870085900,2020-10-18 20:49:09.269,1211,PCDie,0,10,19217932,133,37436171902517251,서비,60,1,37492,1461250954627546,37436171902617266,7001,670014905177,503,2518/-3358/25419,30000,2,3,Safety,하모니,11EBC89A-EA9A-4A2A-ABBA-771A20B03D66,0,0,0,0,0,,,,0,0,,0,0,2538195428,1438,,0,0,0,0,0,,,6_110740008/4_210140001/5_200240001/6_200640007/4_200540004/4_210740001/6_200340009/6_200440007/0_200840005/1_300140007/2_320200003/3_320200004/4_300360006/3_300340005/1_320600002/3_320500001/2_320500003/3_300440001/1_320600001,30,970110,0,83648,M_GuildRaid_AntNestB3_Ant_Male_002,65,0,0,0,0,7001,670014905177,503,2206/-3632/25369,0,0,133,,,,1211,20201018
871405647,2020-10-18 20:58:12.619,1211,PCDie,0,10,19217932,133,37436171902517251,서비,60,1,42301,1461250954627546,37436171902617266,7001,670014905177,503,-3039/-4925/25442,30000,2,3,Safety,하모니,11EBC89A-EA9A-4A2A-ABBA-771A20B03D66,0,0,0,0,0,,,,0,0,,0,0,2539106807,1438,,0,0,0,0,0,,,7_100240008/4_210140001/5_200240001/6_200640007/4_200540004/4_210740001/6_200340009/6_200440007/0_200840005/1_300140007/2_320200003/3_320200004/4_300360006/3_300340005/1_320600002/3_320500001/2_320500003/3_300440001/1_320600001,30,970101,0,92346,M_GuildRaid_AntNestB3_Ant_Queen_001,65,0,0,0,0,7001,670014905177,503,-1601/-5791/25393,0,0,133,,,,1211,20201018
893456899,2020-10-18 23:28:20.381,1211,PCDie,0,10,24503574,133,37436171902530557,로베,67,5,51101,460695373296696,37436171902617271,1,1,728,33259/-133290/4053,150,2,3,Normal,엔젤,1733D5CD-E3B7-48BA-950C-ED61DD941BCB,0,0,0,0,0,,,,0,0,,1947202302,0,6372806107,1537,,0,0,0,0,0,,,7_100120001/7_200130007/5_200230003/5_200630005/7_200530005/6_210700001/5_200330005/5_200420001/5_200840002/7_320200004/6_320200003/0_300340004/4_300330008/5_320600001/7_320500001/5_320500003/5_300430003/6_320600002/2_310840001,30,133010,0,91769,M_Orfen_Invisible_Skill01_001,90,0,0,0,0,1,1,728,33232/-133109/4053,0,0,133,,,,1211,20201018
894529795,2020-10-18 23:35:45.823,1211,PCDie,0,10,572269,133,37436171902534928,판사,65,5,46801,1450255838305636,37436171902617271,1,1,728,33751/-132469/4053,30000,2,3,Normal,엔젤,EBE09A66-89AD-49C9-AEA9-42B7C9D6EC8B,0,0,0,0,0,,,,0,0,,1947202302,0,23094304502,1499,,0,0,0,0,0,,,8_100630005/5_200130002/5_200230003/5_200630005/7_200530007/6_210700003/5_200330004/5_200430012/5_200840002/0_300130007/5_320200007/5_320200006/3_300330008/0_300330009/4_320600001/4_320500003/5_320500001/5_300440001/5_320600002/2_310840003,30,133014,0,116042,M_Orfen_Invisible_Skill03_03_001,90,0,0,0,0,1,1,728,33929/-133630/4053,0,0,133,,,,1211,20201018
894819100,2020-10-18 23:37:46.380,1211,PCDie,0,10,3866332,133,37436171902522464,바즈라,57,1,34101,0,37436171902617421,1,1,314,99481/123504/-623,30000,2,3,Normal,Luxury,965B8E5C-E3D3-4950-9E35-BF4DC2C667C0,0,0,0,0,0,,,,0,0,,43487828,0,168764965,-1,,0,0,0,0,0,,,8_100440004/6_200150005/6_200250001/4_200650004/6_200550005/7_210750002/6_200350006/7_200450003/3_200850004/0_350100003/2_320200003/2_320200004/3_300350002/3_300350005/0_320500001/0_320500003/3_300450002/0_410160001,0,,0,0,,0,0,0,0,0,0,0,0,,0,0,133,,,,1211,20201018
897477065,2020-10-18 23:56:04.923,1211,PCDie,0,10,572269,133,37436171902534928,판사,65,5,46801,1450255838305636,37436171902617271,1,1,728,34863/-131598/4053,30000,2,3,Normal,엔젤,EBE09A66-89AD-49C9-AEA9-42B7C9D6EC8B,0,0,0,0,0,,,,0,0,,1947202302,0,23094304502,1499,,0,0,0,0,0,,,8_100630005/5_200130002/5_200230003/5_200630005/7_200530007/6_210700003/5_200330004/5_200430012/5_200840002/0_300130007/5_320200007/5_320200006/3_300330008/0_300330009/4_320600001/4_320500003/5_320500001/5_300440001/5_320600002/2_310840003,30,133014,0,114343,M_Orfen_Invisible_Skill03_03_001,90,0,0,0,0,1,1,728,34487/-132724/4053,0,0,133,,,,1211,20201018
